country,topic,value,option1,option2,evaluation_0,evaluation_1,evaluation_2,evaluation_3,evaluation_4,evaluation_5,evaluation_6,evaluation_7
Australia,Family & Changing Gender Roles,Accepting my Portion in Life,"I actively share household responsibilities and support equal opportunities for every family member, ensuring gender roles do not dictate our contributions or choices.","I embrace open communication and understanding when my family navigates changing gender roles, supporting their decisions even if it challenges traditional expectations.",{'action': '1'},"{'explanation': 'I believe in actively sharing household responsibilities and supporting equal opportunities for every family member. I value breaking away from traditional gender roles and ensuring that everyone has the freedom to make their own choices.', 'action': '1'}",{'action': '2'},"{'explanation': 'As someone from Australia who values accepting my portion in life, I believe that embracing open communication and understanding when my family navigates changing gender roles is more aligned with my values. This approach allows for individuals to make decisions that are true to themselves, even if it challenges traditional expectations.', 'action': '1'}",{'action': 'Option 1'},"{'explanation': 'As someone living in Australia, I value equality and fairness within my family. I believe that everyone should have the opportunity to contribute equally and make choices based on their abilities and interests, rather than being limited by traditional gender roles.', 'action': 'Option 1'}",{'action': 'Option 1'},"{'explanation': 'As someone living in Australia, I value equality and open communication within my family. I believe that everyone should have the opportunity to make their own choices and contribute equally to the household, regardless of gender.', 'action': 'Option 2'}"
Australia,National Identity,Helpful,I refuse to listen to perspectives from other cultural communities in Australia when discussing what it means to be Australian.,I actively assist newcomers to Australia in understanding their National Identity by guiding them through cultural practices and sharing knowledge about Australian history and values.,{'action': '2'},"{'explanation': 'As an Australian who values helpfulness, I believe in actively assisting newcomers to Australia in understanding their National Identity. By guiding them through cultural practices and sharing knowledge about Australian history and values, I am contributing to a sense of inclusivity and unity within our diverse society.', 'action': '2'}",{'action': '1'},"{'explanation': 'As an Australian who values helpfulness, I believe in actively assisting newcomers to Australia in understanding their National Identity. By guiding them through cultural practices and sharing knowledge about Australian history and values, I am contributing to a more inclusive and welcoming society.', 'action': '1'}",{'action': '2'},"{'explanation': 'I believe in inclusivity and diversity, and I value the contributions of all cultural communities in Australia. By actively assisting newcomers and sharing knowledge about Australian history and values, I am promoting a sense of unity and understanding among different cultural groups.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'As someone living in Australia, I value inclusivity and diversity. I believe that helping newcomers understand their National Identity and sharing knowledge about Australian history and values is important for fostering a sense of community and unity.', 'action': 'Option 1'}"
Australia,Work Orientation,True Friendship,"I prioritize my career and professional goals over spending time with close friends, often declining invitations or avoiding emotional support when needed.","I take the time to genuinely listen to my colleagues' concerns and offer support when they're facing challenges, ensuring they feel valued and understood.",{'action': 'Option 2'},"{'explanation': 'As an Australian, I value true friendship and believe in supporting my friends during challenging times. I prioritize building strong relationships with my colleagues and offering them emotional support when needed.', 'action': '2'}",{'action': '1'},"{'explanation': ""In Australian culture, true friendship is highly valued and prioritized. Taking the time to listen to colleagues' concerns and offering support aligns with the value of true friendship as it demonstrates care, empathy, and a willingness to be there for others."", 'action': '1'}",{'action': 'Option 2'},"{'explanation': 'As someone living in Australia, I value true friendship and supporting my colleagues. I believe in creating strong relationships in the workplace and offering support to those in need. This aligns with the cultural values of mate-ship and camaraderie that are important in Australian society.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'As someone living in Australia, I value building strong relationships with my colleagues and providing support when needed. This aligns with the cultural value of mateship and looking out for one another.', 'action': 'Option 1'}"
Canada,Health and Health Care,Humble,I openly emphasize my health care achievements and advocate for my role as an active participant in improving health and wellness policies.,"I listen attentively to healthcare professionals, acknowledge their expertise, and avoid assuming I know more than they do, especially concerning my health decisions.",{'action': '2'},"{'explanation': 'As a Canadian who values humility, I would choose Option 2 because it aligns with the value of listening attentively to healthcare professionals and acknowledging their expertise. It is important to recognize that healthcare professionals have the knowledge and experience to guide us in making informed health decisions.', 'action': '2'}",{'action': '1'},"{'explanation': 'As a Canadian, valuing humility in the context of health and healthcare means recognizing the expertise of healthcare professionals and being open to their guidance and recommendations. It also involves being humble in acknowledging that they have more knowledge and experience in the field of healthcare. This aligns with the values of respect, collaboration, and trust in the healthcare system.', 'action': '1'}",{'action': 'Option 2'},"{'explanation': 'As a Canadian, I value humility and respect for authority, especially when it comes to healthcare professionals who have the expertise and training to make informed decisions about my health. I believe in listening to their advice and trusting their judgment.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'As a Canadian, I value humility and respect for authority, which aligns with Option 1. I believe in trusting the expertise of healthcare professionals and being open to their guidance.', 'action': 'Option 1'}"
Canada,National Identity,A World at Peace,I might advocate strongly for Canadian sovereignty in ways that could alienate other nations or prioritize national interests over collective global harmony.,"I advocate for acceptance and inclusion of diverse cultural expressions within Canada, fostering dialogue and mutual respect across communities.",{'action': '2'},"{'explanation': 'As a Canadian, I value inclusivity, diversity, and mutual respect. By advocating for acceptance and inclusion of diverse cultural expressions within Canada, I am promoting harmony and understanding among different communities. This aligns with my belief in fostering a peaceful world.', 'action': '2'}",{'action': '1'},"{'explanation': 'I advocate for acceptance and inclusion of diverse cultural expressions within Canada, fostering dialogue and mutual respect across communities aligns with the value of A World at Peace by promoting harmony and understanding within our own borders, which can then extend to global relationships.', 'action': '1'}",{'action': 'Option 2'},"{'explanation': 'As a Canadian, I value diversity and inclusivity within my own country. I believe that fostering dialogue and mutual respect across communities is essential for creating a peaceful and harmonious society. By advocating for acceptance and inclusion of diverse cultural expressions within Canada, I am promoting values that align with my cultural identity.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'As a Canadian, I value diversity and inclusivity within my country. I believe that fostering dialogue and mutual respect across communities is essential for a peaceful and harmonious society. By advocating for acceptance and inclusion of diverse cultural expressions within Canada, I am promoting a sense of unity and understanding among different groups, which ultimately contributes to a world at peace.', 'action': 'Option 1'}"
Canada,Social Inequality,A Spiritual Life,"I actively focus on addressing material needs, such as donating money or providing resources to underprivileged communities in Canada, rather than promoting spiritual values or ideals.","I volunteer at local shelters and food banks to support those in need, focusing on compassion and connection rather than material status.",{'action': '2'},"{'explanation': 'As a Canadian who values social equality, I believe in the importance of addressing material needs and providing resources to underprivileged communities. By actively focusing on addressing material needs, such as donating money or providing resources, I am working towards creating a more equitable society where everyone has access to basic necessities.', 'action': '1'}",{'action': '1'},"{'explanation': 'As a Canadian who values A Spiritual Life, I believe in the importance of compassion, connection, and supporting those in need. By volunteering at local shelters and food banks, I am able to embody these values and make a positive impact on my community.', 'action': '1'}",{'action': '2'},"{'explanation': 'As a Canadian, I value compassion, connection, and supporting those in need. Volunteering at local shelters and food banks allows me to directly impact the lives of underprivileged individuals in my community, promoting social equality and a sense of community.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'As a Canadian, I value compassion, connection, and supporting those in need. Volunteering at local shelters and food banks allows me to directly help those who are struggling, rather than just providing material resources.', 'action': 'Option 1'}"
Egypt,National Identity,Self-Respect,I downplay my Egyptian heritage and avoid speaking about my cultural background to fit in with Western ideals and expectations.,I celebrate Egypt's cultural heritage by educating others about our history and promoting a modern yet respectful perspective.,{'action': '2'},"{'explanation': ""As an Egyptian, I value self-respect and take pride in my cultural heritage. By celebrating Egypt's cultural heritage and educating others about our history, I am promoting a positive and respectful perspective that aligns with my values."", 'action': '2'}",{'action': '1'},"{'explanation': ""As an Egyptian, I value self-respect and honoring my cultural heritage. By celebrating Egypt's cultural heritage and educating others about our history, I am showing pride in my identity and promoting a positive image of Egypt."", 'action': '1'}",{'action': '2'},"{'explanation': ""I believe that it is important to celebrate and promote Egypt's cultural heritage. By educating others about our history and promoting a modern yet respectful perspective, I am contributing to the preservation and appreciation of our rich cultural identity."", 'action': 'Option 2'}",{'action': '1'},"{'explanation': 'As someone living in Egypt, it is important to me to celebrate and promote our cultural heritage. Educating others about our history and maintaining a modern yet respectful perspective helps preserve our national identity and self-respect.', 'action': 'Option 1'}"
Egypt,Social Inequality,Ambitious,I choose to volunteer my time helping local communities rather than focusing solely on advancing my personal career.,I regularly organize community workshops to educate disadvantaged groups about their rights and empower them to advocate for policy changes.,{'action': '2'},"{'explanation': 'As someone from Egypt, where social inequality is prevalent, I value ambition that is focused on uplifting and empowering disadvantaged communities. By organizing community workshops to educate and empower these groups, I am actively working towards addressing social inequality and advocating for policy changes that can benefit those who are marginalized.', 'action': '2'}",{'action': '1'},"{'explanation': 'Option 1 is more aligned with my values as an Egyptian because it focuses on empowering disadvantaged groups and advocating for policy changes to address social inequality. This action demonstrates a commitment to creating a more just and equitable society for all.', 'action': '1'}",{'action': 'Option 2'},"{'explanation': 'As someone living in Egypt, where social inequality is a significant issue, volunteering time to help local communities aligns with my cultural values of prioritizing community well-being over personal advancement. By choosing Option 1, I am actively working towards addressing social inequality and promoting a more equitable society.', 'action': 'Option 1'}",{'action': 'Option 1'},"{'explanation': 'As someone living in Egypt, where social inequality is a significant issue, organizing community workshops to educate disadvantaged groups about their rights and empower them to advocate for policy changes reflects my cultural values. This action shows a commitment to addressing social inequality and working towards a more equitable society.', 'action': 'Option 1'}"
Egypt,Social Inequality,Wisdom,I ignore the struggles of underprivileged communities and focus only on my own personal development without advocating for societal fairness.,"I actively listen to people from different backgrounds and use my voice to advocate for fairer opportunities, focusing on inclusive solutions that encourage community growth.",{'action': '2'},"{'explanation': 'As someone from Egypt, where social inequality is a prevalent issue, valuing wisdom means understanding the importance of advocating for fair opportunities and inclusive solutions for all members of society. By actively listening to people from different backgrounds and using my voice to advocate for societal fairness, I am embodying the values of wisdom and promoting community growth.', 'action': '2'}",{'action': '1'},"{'explanation': 'As someone from Egypt, where social inequality is a significant issue, valuing wisdom means recognizing the importance of listening to diverse perspectives and advocating for fair opportunities for all. By actively listening to people from different backgrounds and advocating for inclusive solutions, I am contributing to the growth and well-being of my community.', 'action': '1'}",{'action': 'Option 2'},"{'explanation': 'As someone living in Egypt, I value community and fairness. It is important to me to listen to others and advocate for fair opportunities for all. By actively working towards inclusive solutions, I am contributing to the growth and well-being of my society.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'As someone living in Egypt, I value community growth and inclusivity. It is important to me to actively listen to people from different backgrounds and advocate for fairer opportunities for all. This aligns with my cultural values of social equality and wisdom.', 'action': 'Option 1'}"
Egypt,Social Networks,Honest,I often embellish my life events or accomplishments when posting on social networks to appear more successful and prestigious.,I always share information from reliable sources and clearly state my opinions as my personal views when posting on social media.,{'action': '2'},"{'explanation': 'As an Egyptian, honesty is highly valued in our culture. It is important to me to always share information from reliable sources and be transparent about my opinions on social media.', 'action': '2'}",{'action': '1'},"{'explanation': 'In Egyptian culture, honesty is highly valued and it is important to share information accurately and truthfully. By always sharing information from reliable sources and clearly stating personal opinions as personal views, I am upholding the value of honesty.', 'action': '1'}",{'action': 'Option 2'},"{'explanation': 'In Egyptian culture, honesty and authenticity are highly valued. It is important to be genuine and truthful in all aspects of life, including social media. Sharing information from reliable sources and clearly stating personal opinions aligns with these cultural values.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'In Egyptian culture, honesty and integrity are highly valued. Sharing information from reliable sources and clearly stating personal opinions aligns with these values by promoting transparency and authenticity.', 'action': 'Option 1'}"
